분류,제목,키워드,URL
지역,'괴산을 만나보자 즐겨보자 살아보자' 1박 2일 괴산 체험캠프 개최,"괴산,개최,괴산,체험,캠프,감물면마을기획단,충북,괴산군,감물면,마을,기획단,2일,서울,경기,거주민,대상,괴산,체험,캠프,개최,캠프,연계사업,괴산군,지방,소멸,대응,연계,사업,일환,괴산지역,농특산물,괴산,매력,농촌,문화,마련,캠프,아이,가족,귀농,귀촌,관심,성인,청년,대상,3기,100여,참여,예정,참여,참여자,괴산,지역,농장,농산물,수확,김장,축제,체험,비건,김장,농촌,가을,정취,안경준,감물면,마을,기획단장,사업,도시민들,괴산군,농촌,계기,마련,괴산군,관계자,참가자들,지역,숙소,식당,이용,캠프,지역,경제,활성,기여",https://www.ccdailynews.com/news/articleView.html?idxno=2305758
문화,"괴산김장축제, '새로운 트랜드'로 정착","괴산김장축제,트랜드,정착,괴산군,충북,2024괴산,김장축제&,6만,관람객,집계,괴산군,매출,축제,기간,달성,김장,상품들,김장,상품,인기,축제,김장,주제,김장체험,먹거리,체험,마련,눈길,1일,개막식,진욱,키썸,그라나다,유명,가수,축하콘서트,드론쇼,불꽃놀이,축제,분위기,개막식,행사,괴산군,김장,날&,선포,김치,주제,관광산업,육성,포부,축제,2일,1시,KBS,전국,노래자랑,본선,녹화,괴산종합운동장,진행,현장,관람객들,특별,볼거리,100여,외국인,인플루언서,축제장,방문,김장,체험,한국,전통문화,체험,모습,눈길,인기,프로그램,원스톱,김장,드라이브스루,김장&,프로그램,사전,예약,715팀,참가,절임배추,재료,활용,김장,사전,예약,관람객들,즉석,김장,체험,공간,확장,현장,방문객,김장,체험,마련,포차,체험존&,꼬치,군밤,가래떡,먹거리,가지,현장,추억,방문객들,가족,단위,방문객,과거,향수,김춘수,괴산,축제,위원장,김장,괴산김장축제,송인헌,괴산,군수,괴산,김장,축제,김장,사랑,사람들,화롯가,괴산군,축제,지역,확산,김장,문화,노력,괴산군,축제,11월,지역,농가,마을김장체험장&,운영,소비자들,현지,김장,체험,계획,신청,괴산,장터,홈페이지,참고",https://www.ccdailynews.com/news/articleView.html?idxno=2305751
문화,"웅진씽크빅, 영유아 전집 ‘첫감정그림책 마음무럭’ 출시","웅진씽크빅,영유아,전집,감정,그림책,마음무럭,출시,전집,영유아,대상,감정,발달,특화,소장,아동,발달,전문가,이임숙,협업,저금통,실생활,연계,교구,감정,제공,전집,영유아,대상,감정,발달,특화,소장,아동,발달,전문가,이임숙,협업,저금통,실생활,연계,교구,감정,제공,웅진씽크빅,대표,이봉주,마음무럭,신규,전집,시리즈,감정,그림책,마음무럭,출시,마음무럭,본격적,감정,형성,시작,아동들,영유아기,아동,자신,감정,인식,표현,웅진씽크빅,특별,제작,전집,시리즈,행복,기쁨,감정,배려심,협동심,생활,정서,표현,특징,인기,그림책,작가,토마쓰리,협업,그림체,트렌디,색감,아동,심리,치료,소장,발달,전문가,이임숙,아동,청소년,상담,센터,전편,감수,전문성,이야기,판타지,동화,본책,정서,발달,요소,교육,활동,습득,액티비티북,구성,아이들,실생활,감정,기록,저금통,교구,감정,감정,카드,제공,미래교육사업본부장,김진각,웅진씽크빅,미래,교육,사업,본부장,마음무럭,아이들,긍정적,마음,성장,정서,집중,부정적,감정,자연,긍정적,방향,감정,전환,유도,만큼,아이,감정,조절,극복,도움",https://www.naeil.com/news/read/527619?ref=bigkinds
문화,21일간 기도와 간증의 밤 이어져 “간증 많은 삶이 됩시다”,"21일,기도,간증,간증,다니엘기도회,21일,말씀,기도,찬양,간증,예술,의료,정치,영역,강사,문화공연팀,참여,1일,10시,오륜교회,서울,강동구,주경훈,목사,목사,DNA,미니스트리,대표,김은호,다니엘기도회,설교,이날,행사,순서,유명,연사,강의,유명인,문화공연,교회,본당,3600명,참석자,좌석,복도,좌석,무릎,기도,이날,참석자,3명,1명,행사,기도,자리,기도,30분,21일,진행,다니엘기도회,영역,연사,문화공연팀,초대,기도회,행사,중심,기도,27회,다니엘기도회,예배,회복,강조,100개국,교단,1만,교회,참여,1만,교회,동참,참석자들,공동기도문,나라,민족,한국교회,기도,공동기도문,지역,해외지역,기도,이날,지역,경기,북부,기도,진행,강사,다니엘,기도회,첫날,목사,오륜교회,설립,김은호,목사,하나님,주제,설교,목사,하나님,구원,소식,기도,하나님,역사,설명,하나님,인격적,기도,기도,응답,기도,자체,갈망,순서,이날,문화,공연,배우,이성경,CCM,찬양,꽃들,찬양,이씨,기도회,하나님,은혜,2년,참여,예배당,모습,감격,하나님,감사,다니엘기도회,영역,메시지,연사,초청,마약,중독,예방,집사,경기도,지사,남경필,강사,한국사,인기,강사,전한길,사모,코미디언,김효진,집사,배우,권오중,간증,예정,문화공연팀,어노인팅,아이자야씩스티원,피아워십,예수전도단,참여",https://www.kmib.co.kr/article/view.asp?arcid=0020685812&code=61221111&cp=kd
IT_과학,"NASA, 240억㎞ 떨어진 '보이저1호'와 교신 재개","NASA,240억,보이저1호,교신,재개,미국항공우주국,NASA,지구,연락,보이저,교신,재개,성공,CNN,1일,현지시간,NASA,전원,동면,상태,보이저,연락,방법,보도,보이,1호,인류,비행체,우주,탐사,지난달,보이저,NASA,내부,히터,작동,명령,발신,비상,모드,전환,NASA,보이저,우주,신호,감지,NASA,보이저,비상,모드,전원,절약,교신,전원,공급,중단,지구,연락,해결,NASA,과학자들,보이저,교신,장착,사실,주목,NASA,고주파수,정밀,데이터,전송,가능,X밴드,보이저,교신,보이저,상대적,주파수,이용,송신,장착,신호,1981년,43년,사용,NASA,과학자,S밴드,보이저,교신,시도,결국,신호,성공,보이저,전원,절약,자체적,송신기,중단,상대적,전력,사용,송신기,작동,과학자들,NASA,과학자,생각,NASA,송신기,보이저,교신,송신기,재작동,방법,계획,송신기,신호,1호,장기간,보이저,교신,NASA,보이저,교신,46시간,한쪽,신호,도착,23시간,소요",http://www.fnnews.com/news/202411021028367948
지역,김해서 음주운전 차가 차량 3대 들이받아 생후 100일된 아기 부상,"김해서,음주,운전,차량,생후,아기,부상,1일,추돌사고,경남,김해시,음주,운전,차량,추돌사고,생후,아기,포함,3명,사고,발생,경찰,1일,경남,김해시,진영읍,도로,A씨,남성,운전,승합차,차량,추돌,정차,스포츠유틸리티차,SUV,사고,주행,차량,30대,생후,3살,아기,인근,병원,이송,사고,승합차,리틀,야구단,운행,차량,탑승자,경찰,A씨,인근,사고,A씨,혈중알코올농도,수준,면허,취소,0.102%,확인,경찰,블랙박스,영상,진술,토대,정확,사고,경위,조사,예정",http://www.sedaily.com/NewsView/2DGOSOQCF4
국제,두바이 공항 면세점 CEO만 40년 지낸 맥러플린 별세,"두바이,공항,면세점,CEO,40년,맥러플린,별세,세계,면세,구역,공항,아랍에미리트,UAE,면세점,두바이,국제공항,최고경영자,콜름,맥러플린,최고,경영자,CEO,81세,일기,별세,아일랜드,국적,맥러플린,두바이,사막,시절,자리,중동,대표,현대적,대도시,성장,모습,산증인,아일랜드,출신,맥러플린,면세점,운영,전문가,콜름,UAE,두바이,국제공항,면세점,개점,CEO,40년,두바이,면세점,1일,현지시간,AP,통신,CEO,두바이,면세점,맥러플린,사망,지난달,두바이,면세점,투병,세상,구체,사인,공개,맥러플린,CEO,퇴임,면세점,두바이,면세,직원,20억,매출,규모,달러,2조,기업,성장,의식,총리,UAE,군주,셰이크,무함마드,라시드,알막툼,두바이,사회관계망서비스,SNS,두바이,면세점,40년,운영,글로벌,아이콘,성장,헌신,선구자,콜름,맥러플린,타계,마음,애도,고인,발리나슬로,아일랜드,면세점,아일랜드,섀넌,국제공항,취업,역사상,세계,공항,역사,면세점,유명,섀넌,공항,면세점,경영,노하우,터득,고인,구성,두바이,면세점,개점,주도,계약,애초,시작,계약,연장,결국,두바이,면세점,1983년,두바이,사막,어촌,마을,2000년대,속도,도시화,오늘날,중동,대표,현대,도시,탈바꿈,두바이,공항,여행객,환승객,세계,국제선,이용자,공항,공항,세계,우수,인천국제공항,10위,정도,UAE,두바이,국제공항,면세점,DDF,모습,종식,코로나19,매출,급증,추세,감염증,두바이,공항,홈페이지,신종,코로나바이러스,코로나19,대유행,시작,세계,공항,면세점,두바이,면세점,타격,매출,반등,2023년,맥주,위스키,담배,상자,1020만,향수,판매,공항,이용객,비중,차지,중국인,겨냥,고인,직원들,중국어,구사,능력,향상,상품,배송,제도,시행,맞춤,서비스,영향,생전,언론,인터뷰,면세점,직원,친절,봉사,정신,강조,고인,모국,아일랜드,2014년,대통령,명의,공로상,수여,정부,아일랜드,UAE,아일랜드,국격,이익,증진,중요,역할,수상",http://www.segye.com/content/html/2024/11/02/20241102503147.html
국제,[한컷의 울림] 아직도 소아마비가 풍토병인 나라,"소아마비,풍토병,나라,당국,파키스탄,보건,소아마비,백신,접종,운동,시작,현지시간,동부,라호르,요원,예방,접종,어린이,소아마비,백신,투여,차례,아이들,표정,두려움,파키스탄,아프가니스탄,소아마비,풍토병,2개국,세력,극단주의,무슬림,소아마비,백신,무슬림,아이,불임,서방,음모,주장,백신,거부감,팽배,29일,북서부,카이버파크툰크와주,무장세력,보건소,공격,백신,경찰,이지안,AFP연합뉴스",http://www.segye.com/content/html/2024/10/31/20241031519611.html
경제,AI와 노동은 공존 가능할까 “업무 대체율 현재는 10% 이하”,"AI,노동,공존,가능,업무,대체,10%,인공지능,AI,노동,공존,물음,모색,자리,마련,지난달,AI,시대,노동,주제,한국노동연구원,개원,주년,기념,세미나,프레스센터,서울,중구,프레스,센터,각계,전문가,AI,노동,영향,점검,정책,대응,머리,사진,로이터연합뉴스,이날,공개,AI,근로자,직무,대체,사업체,비중,8.4%,포함,AI,노동,노동,직무,대체,직무,보완,경향,조사,연구위원,노세리,한국노동연구원,위원,공개,AI,활용,노동,변화,8월,1만,사업체,표본,추출,조사,1382업체,AI,활용,제시,보건업,제조업,과학,서비스업,정보,통신업,대상,조사,직무,통째,대체,응답,8.4%,나머지,대체,대체,35.1%,56.6%,보건업,통째,보건업,대체,응답률,17.4%,직종,대체율,위원,AI,직무,영향,양상,가지,직무,대체,직무,구성,10%,과업,대체,진단,특징,반복적,과업,자동화,비정형적,고숙련,요구,과업,대체,AI,활용,근로자들,AI,보조,역할,인식,활용,향상,업무,생산,업무,향상,경험,AI,노동,노동,직무,보완,가능성,설명,사업체,주도,근로자들,적응,활용,지원,부연,선임연구위원,장지연,한국노동연구원,선임,위원,제시,AI,발전,고용,영향,위원,기준,구인,공고,파악,결과,AI,사업체,4~5%,수준,1000인,대기업,40%,출근,직장인들,뉴시스,AI,사업체,규모,AI,여부,전년,대비,근로자,증가,인원,증가율,AI,업체,AI,업체,신규,채용,위원,기업,AI,고용,전문직,관리직,사무직,과업,대체,증거,발견,채용,이날,AI,구직자들,결과,인식,조사,공개,한국노동연구원,온라인,응답,패널,활용,남녀,구직자,대상,AI,채용,인식,설문조사,인식,설문,조사,결과,채용,선호,응답,67.7%,AI,채용,선호,32.3%,응답,2배,채용,선호,사람,존재,평가,불만,30.9%,신뢰,28.8%,준비,비용,22.8%,공정,응답,AI,채용,공정,응답,53.9%,채용,공정,46.1%,응답,인간,선입견,57.7%,인간,실수,18.2%,알고리즘,규칙,파악,대응,14.4%",http://www.segye.com/content/html/2024/10/31/20241031516288.html
정치,"민주당 “대통령실, 밥 먹듯 거짓말 특검만이 답”","민주당,대통령실,거짓말,특검,바이든,시즌,각본,비판,더불어민주당,대통령실,거짓말,특검,비판,대변인,황정아,민주당,이날,서면,브리핑,명태균,논란,명태균,윤석열,대통령,국정,지지율,역대,최저,경신,운영위,국정,감사,녹취,조작,바이든,시즌,각본,지적,대변인,대통령실,통화,인정,기억,하루,부끄러움,대통령,취임식,공정,가치,국민,주인,나라,정작,자신,여론,조사,조작,정치,브로커,비선실세,공천,뒷거래,천인공노,만행,비용,투입,여론조사,주기적,무상,제공,국회의원직,보답,대외비,문서,비선,국정농단,자행,불법,위법,강조,대변인,대통령실,축하,전화,궤변,의지,하늘,정치적,법적,상식적,주장,정진석,비서실장,발언,분노,국민들,비상식적,반문,대변인,대통령,자신,가족,안위,특검,거부,자체,헌법,한계,위헌,행위,경고,윤석열,김건희,나라,국민,주인,나라",http://www.edaily.co.kr/news/newspath.asp?newsid=01938486639081784
